This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Demon's World / Horror Story     |  Yes  |  Yes  |  Yes  |  Yes  | demonwld |
| Fire Shark                       |  Yes  |  Yes  |   No  |  Yes  | fireshrk |
| Same! Same! Same!                |  Yes  |  Yes  |   No  |  Yes  | samesame |
| Out Zone                         |  Yes  |  Yes  |  Yes  |  Yes  | outzone  |
| Out Zone (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | outzonep |
| Vimana (set 1)                   |  Yes  |  Yes  |   No  |  Yes  | vimana   |
| Vimana (set 2)                   |  Yes  |  Yes  |   No  |  Yes  | vimana2  |
| Vimana (Nova Apparate GMBH & Co) |  Yes  |  Yes  |   No  |  Yes  | vimanan  |
| Snow Bros. - Nick & Tom (set 1)  |  Yes  |  Yes  |  Yes  |  Yes  | snowbros |
| Snow Bros. - Nick & Tom (set 2)  |  Yes  |  Yes  |  Yes  |  Yes  | snowbroa |
| Snow Bros. - Nick & Tom (set 3)  |  Yes  |  Yes  |  Yes  |  Yes  | snowbrob |
| Snow Bros. - Nick & Tom (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | snowbroj |
| Teki Paki                        |  Yes  |  Yes  |   No  |  Yes  | tekipaki |
| Ghox                             |  Yes  |  Yes  |   No  |  Yes  | ghox     |
| Dogyuun                          |  Yes  |  Yes  |   No  |  Yes  | dogyuun  |
| Knuckle Bash                     |  Yes  |  Yes  |   No  |  Yes  | kbash    |
| Truxton II / Tatsujin II / Tatsuj|  Yes  |  Yes  |  Yes  |  Yes  | tatsujn2 |
| Pipi & Bibis / Whoopee (Japan)   |  Yes  |  Yes  |  Yes  |  Yes  | pipibibs |
| Pipi & Bibis / Whoopee (Japan) [b|  Yes  |  Yes  |  Yes  |  Yes  | pipibibi |
| Whoopee (Japan) / Pipi & Bibis (W|  Yes  |  Yes  |  Yes  |  Yes  | whoopee  |
| V-Five (Japan)                   |  Yes  |  Yes  |   No  |  Yes  | vfive    |
| Grind Stormer                    |  Yes  |  Yes  |   No  |  Yes  | grindstm |
| Batsugun                         |  Yes  |  Yes  |   No  |  Yes  | batsugun |
| Batsugun Special Ver.            |  Yes  |  Yes  |   No  |  Yes  | batugnsp |
| Snow Bros. 2 - With New Elves    |  Yes  |  Yes  |  Yes  |  Yes  | snowbro2 |
| Mahou Daisakusen (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | mahoudai |
| Shippu Mahou Daisakusen (Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | shippumd |
| Dodonpachi (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | ddonpach |
| Dangun Feveron (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | dfeveron |
| ESP Ra.De. (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | esprade  |
| Uo Poko (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | uopoko   |
| Gyrodine                         |  Yes  |  Yes  |  Yes  |  Yes  | gyrodine |
| Son of Phoenix                   |  Yes  |  Yes  |  Yes  |  Yes  | sonofphx |
| Repulse                          |  Yes  |  Yes  |  Yes  |  Yes  | repulse  |
| '99 The Last War                 |  Yes  |  Yes  |  Yes  |  Yes  | 99lstwar |
| '99 The Last War (alternate)     |  Yes  |  Yes  |  Yes  |  Yes  | 99lstwra |
| Flash Gal                        |  Yes  |  Yes  |  Yes  |  Yes  | flashgal |
| S.R.D. Mission                   |  Yes  |  Yes  |  Yes  |  Yes  | srdmissn |
| Air Wolf                         |  Yes  |  Yes  |  Yes  |  Yes  | airwolf  |
| Sky Wolf (set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | skywolf  |
| Sky Wolf (set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | skywolf2 |
| Defender (Red label)             |  Yes  |  Yes  |  Yes  |  Yes  | defender |
| Defender (Green label)           |  Yes  |  Yes  |  Yes  |  Yes  | defendg  |
| Defender (White label)           |  Yes  |  Yes  |  Yes  |  Yes  | defendw  |
| Defense Command (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | defcmnd  |
| Defence Command                  |  Yes  |  Yes  |  Yes  |  Yes  | defence  |
| Mayday (set 1)                   |  Yes  |  Yes  |  Yes  |  Yes  | mayday   |
| Mayday (set 2)                   |  Yes  |  Yes  |  Yes  |  Yes  | maydaya  |
| Colony 7 (set 1)                 |  Yes  |  Yes  |  Yes  |  Yes  | colony7  |
| Colony 7 (set 2)                 |  Yes  |  Yes  |  Yes  |  Yes  | colony7a |
| Stargate                         |  Yes  |  Yes  |  Yes  |  Yes  | stargate |
| Robotron (Solid Blue label)      |  Yes  |  Yes  |  Yes  |  Yes  | robotron |
| Robotron (Yellow/Orange label)   |  Yes  |  Yes  |  Yes  |  Yes  | robotryo |
| Joust (White/Green label)        |  Yes  |  Yes  |  Yes  |  Yes  | joust    |
| Joust (Solid Red label)          |  Yes  |  Yes  |  Yes  |  Yes  | joustr   |
| Joust (White/Red label)          |  Yes  |  Yes  |  Yes  |  Yes  | joustwr  |
| Bubbles                          |  Yes  |  Yes  |  Yes  |  Yes  | bubbles  |
| Bubbles (Solid Red label)        |  Yes  |  Yes  |  Yes  |  Yes  | bubblesr |
| Splat!                           |  Yes  |  Yes  |  Yes  |  Yes  | splat    |
| Sinistar (revision 3)            |  Yes  |  Yes  |  Yes  |  Yes  | sinistar |
| Sinistar (prototype version)     |  Yes  |  Yes  |  Yes  |  Yes  | sinista1 |
| Sinistar (revision 2)            |  Yes  |  Yes  |  Yes  |  Yes  | sinista2 |
| Blaster                          |  Yes  |  Yes  |  Yes  |  Yes  | blaster  |
| Mystic Marathon                  |  Yes  |  Yes  |  Yes  |  Yes  | mysticm  |
| Turkey Shoot                     |  Yes  |  Yes  |  Yes  |  Yes  | tshoot   |
| Inferno                          |  Yes  |  Yes  |Partial|  Yes  | inferno  |
| Joust 2 - Survival of the Fittest|  Yes  |  Yes  |  Yes  |  Yes  | joust2   |
| Vulgus (set 1)                   |  Yes  |  Yes  |  Yes  |   No  | vulgus   |
| Vulgus (set 2)                   |  Yes  |  Yes  |  Yes  |   No  | vulgus2  |
| Vulgus (Japan?)                  |  Yes  |  Yes  |  Yes  |   No  | vulgusj  |
| Son Son                          |  Yes  |  Yes  |  Yes  |   No  | sonson   |
| Pirate Ship HigeMaru             |  Yes  |  Yes  |  Yes  |  Yes  | higemaru |
| 1942 (set 1)                     |  Yes  |  Yes  |  Yes  |  Yes  | 1942     |
| 1942 (set 2)                     |  Yes  |  Yes  |  Yes  |  Yes  | 1942a    |
| 1942 (set 3)                     |  Yes  |  Yes  |  Yes  |  Yes  | 1942b    |
| Exed Exes                        |  Yes  |  Yes  |  Yes  |   No  | exedexes |
| Savage Bees                      |  Yes  |  Yes  |  Yes  |   No  | savgbees |
| Commando (World)                 |  Yes  |  Yes  |  Yes  |  Yes  | commando |
| Commando (US)                    |  Yes  |  Yes  |  Yes  |  Yes  | commandu |
| Senjo no Ookami                  |  Yes  |  Yes  |  Yes  |  Yes  | commandj |
| Space Invasion                   |  Yes  |  Yes  |  Yes  |  Yes  | spaceinv |
| Ghosts'n Goblins (World? set 1)  |  Yes  |  Yes  |  Yes  |  Yes  | gng      |
| Ghosts'n Goblins (World? set 2)  |  Yes  |  Yes  |  Yes  |  Yes  | gnga     |
| Ghosts'n Goblins (US)            |  Yes  |  Yes  |  Yes  |  Yes  | gngt     |
| Makai-Mura                       |  Yes  |  Yes  |  Yes  |  Yes  | makaimur |
| Makai-Mura (Revision C)          |  Yes  |  Yes  |  Yes  |  Yes  | makaimuc |
| Makai-Mura (Revision G)          |  Yes  |  Yes  |  Yes  |  Yes  | makaimug |
| Diamond Run                      |  Yes  |  Yes  |  Yes  |  Yes  | diamond  |
| Gun.Smoke (World)                |  Yes  |  Yes  |  Yes  |   No  | gunsmoke |
| Gun.Smoke (US set 1)             |  Yes  |  Yes  |  Yes  |   No  | gunsmrom |
| Gun.Smoke (US set 2)             |  Yes  |  Yes  |  Yes  |   No  | gunsmoka |
| Gun.Smoke (Japan)                |  Yes  |  Yes  |  Yes  |   No  | gunsmokj |
| Section Z (set 1)                |  Yes  |  Yes  |  Yes  |  Yes  | sectionz |
| Section Z (set 2)                |  Yes  |  Yes  |  Yes  |  Yes  | sctionza |
| Trojan (US)                      |  Yes  |  Yes  |  Yes  |  Yes  | trojan   |
| Trojan (Romstar)                 |  Yes  |  Yes  |  Yes  |  Yes  | trojanr  |
| Tatakai no Banka (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | trojanj  |
| Speed Rumbler, The (set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | srumbler |
| Speed Rumbler, The (set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | srumblr2 |
| Rush & Crash (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | rushcrsh |
| Legendary Wings (US set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | lwings   |
| Legendary Wings (US set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | lwings2  |
| Ales no Tsubasa (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | lwingsjp |
| Side Arms - Hyper Dyne (World)   |  Yes  |  Yes  |  Yes  |   No  | sidearms |
| Side Arms - Hyper Dyne (US)      |  Yes  |  Yes  |  Yes  |   No  | sidearmr |
| Side Arms - Hyper Dyne (Japan)   |  Yes  |  Yes  |  Yes  |   No  | sidearjp |
| Turtle Ship                      |  Yes  |  Yes  |  Yes  |   No  | turtship |
| Dyger (set 1)                    |  Yes  |  Yes  |  Yes  |   No  | dyger    |
| Dyger (set 2)                    |  Yes  |  Yes  |  Yes  |   No  | dygera   |
| Avengers (set 1)                 |   No  |   No  |  Yes  |  Yes  | avengers |
| Avengers (set 2)                 |   No  |   No  |  Yes  |  Yes  | avenger2 |
| Bionic Commando (US set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | bionicc  |
| Bionic Commando (US set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | bionicc2 |
| Top Secret (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | topsecrt |
| 1943 - The Battle of Midway (US) |  Yes  |  Yes  |  Yes  |   No  | 1943     |
| 1943 - The Battle of Midway (Japa|  Yes  |  Yes  |  Yes  |   No  | 1943j    |
| Black Tiger                      |  Yes  |  Yes  |  Yes  |   No  | blktiger |
| Black Tiger (bootleg)            |  Yes  |  Yes  |  Yes  |   No  | bktigerb |
| Black Dragon                     |  Yes  |  Yes  |  Yes  |   No  | blkdrgon |
| Black Dragon (bootleg)           |  Yes  |  Yes  |  Yes  |   No  | blkdrgnb |
| Street Fighter (World)           |  Yes  |  Yes  |  Yes  |   No  | sf1      |
| Street Fighter (US)              |  Yes  |  Yes  |  Yes  |   No  | sf1us    |
| Street Fighter (Japan)           |  Yes  |  Yes  |  Yes  |   No  | sf1jp    |
| Tiger Road (US)                  |  Yes  |  Yes  |  Yes  |   No  | tigeroad |
| Tora eno Michi (Japan)           |  Yes  |  Yes  |  Yes  |   No  | toramich |
| F-1 Dream                        |  Yes  |  Yes  |  Yes  |   No  | f1dream  |
| F-1 Dream (bootleg)              |  Yes  |  Yes  |  Yes  |   No  | f1dreamb |
| 1943 Kai                         |  Yes  |  Yes  |  Yes  |   No  | 1943kai  |
| Last Duel (US set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | lastduel |
| Last Duel (US set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | lstduela |
| Last Duel (bootleg)              |  Yes  |  Yes  |  Yes  |  Yes  | lstduelb |
| Mad Gear (US)                    |  Yes  |  Yes  |  Yes  |  Yes  | madgear  |
| Mad Gear (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | madgearj |
| Led Storm (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | ledstorm |
| Forgotten Worlds (US)            |  Yes  |  Yes  |  Yes  |  Yes  | forgottn |
| Lost Worlds (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | lostwrld |
| Ghouls'n Ghosts (World)          |  Yes  |  Yes  |  Yes  |  Yes  | ghouls   |
| Ghouls'n Ghosts (US)             |  Yes  |  Yes  |  Yes  |  Yes  | ghoulsu  |
| Dai Makai-Mura (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | ghoulsj  |
| Strider (US)                     |  Yes  |  Yes  |  Yes  |  Yes  | strider  |
| Strider Hiryu (Japan set 1)      |  Yes  |  Yes  |  Yes  |  Yes  | striderj |
| Strider Hiryu (Japan set 2)      |  Yes  |  Yes  |  Yes  |  Yes  | stridrja |
| Tenchi wo Kurau (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | dwj      |
| Willow (Japan, English)          |  Yes  |  Yes  |  Yes  |  Yes  | willow   |
| Willow (Japan, Japanese)         |  Yes  |  Yes  |  Yes  |  Yes  | willowj  |
| U.N. Squadron (US)               |  Yes  |  Yes  |  Yes  |  Yes  | unsquad  |
| Area 88 (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | area88   |
| Final Fight (World)              |  Yes  |  Yes  |  Yes  |  Yes  | ffight   |
| Final Fight (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | ffightu  |
| Final Fight (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | ffightj  |
| 1941 - Counter Attack (World)    |  Yes  |  Yes  |  Yes  |  Yes  | 1941     |
| 1941 - Counter Attack (Japan)    |  Yes  |  Yes  |  Yes  |  Yes  | 1941j    |
| Mercs (World)                    |  Yes  |  Yes  |  Yes  |  Yes  | mercs    |
| Mercs (US)                       |  Yes  |  Yes  |  Yes  |  Yes  | mercsu   |
| Senjo no Ookami II (Japan)       |  Yes  |  Yes  |  Yes  |  Yes  | mercsj   |
| Mega Twins (World)               |  Yes  |  Yes  |  Yes  |  Yes  | mtwins   |
| Chiki Chiki Boys (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | chikij   |
| Magic Sword - Heroic Fantasy (Wor|  Yes  |  Yes  |  Yes  |  Yes  | msword   |
| Magic Sword - Heroic Fantasy (US)|  Yes  |  Yes  |  Yes  |  Yes  | mswordu  |
| Magic Sword (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | mswordj  |
| Carrier Air Wing (World)         |  Yes  |  Yes  |  Yes  |  Yes  | cawing   |
| U.S. Navy (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | cawingj  |
| Nemo (World)                     |  Yes  |  Yes  |  Yes  |  Yes  | nemo     |
| Nemo (Japan)                     |  Yes  |  Yes  |  Yes  |  Yes  | nemoj    |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2      |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2a     |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2b     |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2e     |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2j     |
| Street Fighter II - The World War|  Yes  |  Yes  |  Yes  |  Yes  | sf2jb    |
| Three Wonders (US)               |  Yes  |  Yes  |  Yes  |  Yes  | 3wonders |
| Wonder 3 (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | wonder3  |
| King of Dragons, The (World)     |  Yes  |  Yes  |  Yes  |  Yes  | kod      |
| King of Dragons, The (Japan)     |  Yes  |  Yes  |  Yes  |  Yes  | kodj     |
| King of Dragons, The (bootleg)   | No(1) |  Yes  |  Yes  |  Yes  | kodb     |
| Captain Commando (World)         |  Yes  |  Yes  |  Yes  |  Yes  | captcomm |
| Captain Commando (US)            |  Yes  |  Yes  |  Yes  |  Yes  | captcomu |
| Captain Commando (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | captcomj |
| Knights of the Round (World)     |  Yes  |  Yes  |  Yes  |  Yes  | knights  |
| Knights of the Round (Japan)     |  Yes  |  Yes  |  Yes  |  Yes  | knightsj |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2ce    |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2cea   |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2ceb   |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2cej   |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2rb    |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2red   |
| Street Fighter II' - Champion Edi|  Yes  |  Yes  |  Yes  |  Yes  | sf2accp2 |
| Varth - Operation Thunderstorm (W|  Yes  |  Yes  |  Yes  |  Yes  | varth    |
| Varth - Operation Thunderstorm (U|  Yes  |  Yes  |  Yes  |  Yes  | varthu   |
| Varth - Operation Thunderstorm (J|  Yes  |  Yes  |  Yes  |  Yes  | varthj   |
| Capcom World 2 (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | cworld2j |
| Warriors of Fate (World)         |  Yes  |  Yes  |  Yes  |  Yes  | wof      |
| Sangokushi II (Asia)             |  Yes  |  Yes  |  Yes  |  Yes  | wofa     |
| Tenchi wo Kurau II - Sekiheki no |  Yes  |  Yes  |  Yes  |  Yes  | wofj     |
| Street Fighter II' - Hyper Fighti|  Yes  |  Yes  |  Yes  |  Yes  | sf2t     |
| Street Fighter II' Turbo - Hyper |  Yes  |  Yes  |  Yes  |  Yes  | sf2tj    |
| Cadillacs and Dinosaurs (World)  |  Yes  |  Yes  |  Yes  |  Yes  | dino     |
| Cadillacs Kyouryuu-Shinseiki (Jap|  Yes  |  Yes  |  Yes  |  Yes  | dinoj    |
| Punisher, The (World)            |  Yes  |  Yes  |  Yes  |  Yes  | punisher |
| Punisher, The (US)               |  Yes  |  Yes  |  Yes  |  Yes  | punishru |
| Punisher, The (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | punishrj |
| Saturday Night Slam Masters (Worl|  Yes  |  Yes  |  Yes  |  Yes  | slammast |
| Muscle Bomber - The Body Explosio|  Yes  |  Yes  |  Yes  |  Yes  | mbomberj |
| Muscle Bomber Duo - Ultimate Team|  Yes  |  Yes  |  Yes  |  Yes  | mbombrd  |
| Muscle Bomber Duo - Heat Up Warri|  Yes  |  Yes  |  Yes  |  Yes  | mbombrdj |
| Pnickies (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | pnickj   |
| Quiz & Dragons (US)              |  Yes  |  Yes  |  Yes  |  Yes  | qad      |
| Quiz & Dragons (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | qadj     |
| Quiz Tonosama no Yabou 2 Zenkoku-|  Yes  |  Yes  |  Yes  |  Yes  | qtono2   |
| Pang! 3 (Euro)                   |  Yes  |  Yes  |  Yes  |  Yes  | pang3    |
| Pang! 3 (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | pang3j   |
| Mega Man - The Power Battle (Asia|  Yes  |  Yes  |  Yes  |  Yes  | megaman  |
| Rockman - The Power Battle (Japan|  Yes  |  Yes  |  Yes  |  Yes  | rockmanj |
| Mahjong Gakuen                   |  Yes  |  Yes  |  Yes  |  Yes  | mgakuen  |
| Mahjong Gakuen 2 Gakuen-chou no F|  Yes  |  Yes  |  Yes  |  Yes  | mgakuen2 |
| Poker Ladies                     |  Yes  |  Yes  |  Yes  |  Yes  | pkladies |
| Dokaben (Japan)                  |  Yes  |  Yes  |  Yes  |  Yes  | dokaben  |
| Pang (World)                     |  Yes  |  Yes  |  Yes  |  Yes  | pang     |
| Pang (bootleg)                   |  Yes  |  Yes  |  Yes  |  Yes  | pangb    |
| Buster Bros (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | bbros    |
| Pomping World (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | pompingw |
| Capcom Baseball (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | cbasebal |
| Capcom World (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | cworld   |
| Adventure Quiz 2 Hatena Hatena no|  Yes  |  Yes  |  Yes  |  Yes  | hatena   |
| Super Pang (World)               |  Yes  |  Yes  |  Yes  |  Yes  | spang    |
| Super Buster Bros (US)           |  Yes  |  Yes  |  Yes  |  Yes  | sbbros   |
| Super Marukin-Ban                |  Yes  |  Yes  |  Yes  |  Yes  | marukin  |
| Quiz Tonosama no Yabou (Japan)   |  Yes  |  Yes  |  Yes  |  Yes  | qtono1   |
| Quiz Sangokushi (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | qsangoku |
| Block Block (World)              |  Yes  |  Yes  |  Yes  |  Yes  | block    |
| Block Block (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | blockj   |
| Block Block (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | blockbl  |
| Capcom Bowling (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | capbowl  |
| Capcom Bowling (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | capbowl2 |
| Coors Light Bowling              |  Yes  |  Yes  |  Yes  |  Yes  | clbowl   |
| Bowl-O-Rama                      |  Yes  |  Yes  |  Yes  |  Yes  | bowlrama |
| Cerberus                         |  Yes  |  Yes  |  Yes  |  Yes  | cerberus |
| Mayhem 2002                      |  Yes  |  Yes  |  Yes  |  Yes  | mayhem   |
| World Series: The Season         |  Yes  |  Yes  |  Yes  |  Yes  | wseries  |
| Alley Master                     |  Yes  |  Yes  |  Yes  |  Yes  | alleymas |
| Danger Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | dangerz  |
| Baseball The Season II           |  Yes  |  Yes  |  Yes  |  Yes  | basebal2 |
| Super Baseball Double Play Home R|  Yes  |  Yes  |  Yes  |  Yes  | dblplay  |
| Strike Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | strkzone |
| Redline Racer (2 players)        |  Yes  |  Yes  |  Yes  |  Yes  | redlin2p |
| Quarterback                      |  Yes  |  Yes  |  Yes  |  Yes  | quarterb |
| Quarterback (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | quartrba |
| Viper                            |  Yes  |  Yes  |  Yes  |  Yes  | viper    |
| John Elway's Team Quarterback    |  Yes  |  Yes  |  Yes  |  Yes  | teamqb   |
| John Elway's Team Quarterback (se|  Yes  |  Yes  |  Yes  |  Yes  | teamqb2  |
| All American Football (rev E)    |  Yes  |  Yes  |  Yes  |  Yes  | aafb     |
| All American Football (rev D, 2 P|  Yes  |  Yes  |  Yes  |  Yes  | aafbd2p  |
| All American Football (rev B)    |  Yes  |  Yes  |  Yes  |  Yes  | aafbb    |
| Ironman Stewart's Super Off-Road |  Yes  |  Yes  |  Yes  |  Yes  | offroad  |
| Ironman Stewart's Super Off-Road |  Yes  |  Yes  |  Yes  |  Yes  | offroadt |
| Pigout                           |  Yes  |  Yes  |  Yes  |  Yes  | pigout   |
| Pigout (alternate)               |  Yes  |  Yes  |  Yes  |  Yes  | pigouta  |
| Ataxx (set 1)                    |  Yes  |  Yes  |  Yes  |  Yes  | ataxx    |
| Ataxx (set 2)                    |  Yes  |  Yes  |  Yes  |  Yes  | ataxxa   |
| Ataxx (Japan)                    |  Yes  |  Yes  |  Yes  |  Yes  | ataxxj   |
| World Soccer Finals              |  Yes  |  Yes  |  Yes  |  Yes  | wsf      |
| Danny Sullivan's Indy Heat       |  Yes  |  Yes  |  Yes  |  Yes  | indyheat |
| Brute Force                      |  Yes  |  Yes  |  Yes  |  Yes  | brutforc |
| Blockade                         |  Yes  |  Yes  |Part(2)|   No  | blockade |
| Comotion                         |  Yes  |  Yes  |Part(2)|   No  | comotion |
| Hustle                           |  Yes  |  Yes  |Part(2)|   No  | hustle   |
| Blasto                           |  Yes  |  Yes  |Part(2)|   No  | blasto   |
| Depthcharge                      |  Yes  |  Yes  |  Yes  |  Yes  | depthch  |
| Safari                           |  Yes  |  Yes  |   No  |  Yes  | safari   |
| Frogs                            |  Yes  |  Yes  |   No  |  Yes  | frogs    |
| Space Attack (upright)           |  Yes  |  Yes  |   No  |  Yes  | sspaceat |
| Space Attack (upright, older)    |  Yes  |  Yes  |   No  |  Yes  | sspacat2 |
| Space Attack (cocktail)          |  Yes  |  Yes  |   No  |  Yes  | sspacatc |
| Head On (2 players)              |  Yes  |  Yes  |   No  |  Yes  | headon   |
| Head On (1 player)               |  Yes  |  Yes  |   No  |  Yes  | headonb  |
| Head On 2                        |  Yes  |  Yes  |   No  |  Yes  | headon2  |
| Invinco / Head On 2              |  Yes  |  Yes  |  Yes  |  Yes  | invho2   |
| Samurai (Sega)                   |  Yes  |  Yes  |   No  |  Yes  | samurai  |
| Invinco                          |  Yes  |  Yes  |  Yes  |  Yes  | invinco  |
| Invinco / Deep Scan              |  Yes  |  Yes  |  Yes  |  Yes  | invds    |
| Tranquilizer Gun                 |  Yes  |  Yes  |   No  |  Yes  | tranqgun |
| Space Trek (upright)             |  Yes  |  Yes  |   No  |  Yes  | spacetrk |
| Space Trek (cocktail)            |  Yes  |  Yes  |   No  |  Yes  | sptrekct |
| Carnival (upright)               |  Yes  |  Yes  |  Yes  |  Yes  | carnival |
| Carnival (cocktail)              |  Yes  |  Yes  |  Yes  |  Yes  | carnvckt |
| Digger                           |  Yes  |  Yes  |   No  |  Yes  | digger   |
| Pulsar                           |  Yes  |  Yes  |  Yes  |  Yes  | pulsar   |
| Heiankyo Alien                   |  Yes  |  Yes  |   No  |  Yes  | heiankyo |
| Space Fury (revision C)          |  Yes  |  Yes  | Yes(2)|  Yes  | spacfury |
| Space Fury (revision A)          |  Yes  |  Yes  | Yes(2)|  Yes  | spacfura |
| Zektor                           |  Yes  |  Yes  | Yes(2)|  Yes  | zektor   |
| Tac/Scan                         |  Yes  |  Yes  | Yes(2)|  Yes  | tacscan  |
| Eliminator (2 Players, set 1)    |  Yes  |  Yes  | Yes(2)|  Yes  | elim2    |
| Eliminator (2 Players, set 2)    |  Yes  |  Yes  | Yes(2)|  Yes  | elim2a   |
| Eliminator (4 Players)           |  Yes  |  Yes  | Yes(2)|  Yes  | elim4    |
| Star Trek                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrek |
| Astro Blaster (version 3)        |  Yes  |  Yes  | Yes(2)|  Yes  | astrob   |
| Astro Blaster (version 2)        |  Yes  |  Yes  | Yes(2)|  Yes  | astrob2  |
| Astro Blaster (version 1)        | No(1) |  Yes  | Yes(2)|  Yes  | astrob1  |
| 005                              |  Yes  |  Yes  |   No  |  Yes  | 005      |
